inventory_id,product_id,store_id,current_stock,last_restock_date,restock_quantity,product_name,category,price_per_unit,supplier_id,reorder_point,lead_time,store_name,location,annual_units_sold,annual_sales,annual_profit,sales_days,avg_daily_demand,demand_std,inventory_value,inventory_turnover,days_of_supply,safety_stock,recommended_reorder_point,stock_gap,holding_cost_estimate,stock_status,recommended_order_qty
1,47,3,199,2023-11-03,22,Skirt,Clothing,93.52,20,7,6,One-Stop Shop,Bengaluru,122.0,11364.5504,4290.6975999999995,4.0,0.33424657534246577,14.617341299520465,18610.48,0.6130653266331658,595.3688524590164,60.0,63.0,136.0,3349.8864,Overstock,0.0
2,29,3,2,2023-03-28,11,Apples,Groceries,98.76,9,20,8,One-Stop Shop,Bengaluru,235.0,23989.594080000003,9600.262080000004,8.0,0.6438356164383562,14.362028308802943,197.52,117.5,3.106382978723404,68.0,74.0,-72.0,35.5536,Restock risk,86.0
3,49,1,200,2023-07-08,12,Socks,Clothing,29.61,10,7,2,All-In-One Mart ,Delhi-NCR,95.0,2921.9148000000005,1177.8858000000002,3.0,0.2602739726027397,13.576941236277534,5922.0,0.475,768.421052631579,32.0,33.0,167.0,1065.96,Overstock,0.0
4,94,3,150,2023-03-17,36,Cookies,Groceries,29.22,13,10,7,One-Stop Shop,Bengaluru,165.0,5102.127576000001,2112.9215760000006,7.0,0.4520547945205479,17.367183065167694,4383.0,1.1,331.8181818181818,76.0,80.0,70.0,788.9399999999999,Overstock,0.0
5,45,3,141,2023-02-17,22,Pants,Clothing,73.32,16,8,3,One-Stop Shop,Bengaluru,55.0,3997.8756479999997,1497.6636479999997,2.0,0.1506849315068493,9.192388155425117,10338.119999999999,0.3900709219858156,935.7272727272727,27.0,28.0,113.0,1860.8615999999997,Overstock,0.0
6,7,2,81,2023-10-04,29,Milk,Groceries,72.37,12,6,7,Ultimate Retail Hub,Pune,116.0,9018.633608,3813.783208,5.0,0.3178082191780822,11.734564329364769,5861.97,1.4320987654320987,254.87068965517238,52.0,55.0,26.0,1055.1546,Overstock,0.0
7,95,4,122,2023-03-12,42,Slime Kit,Toys,12.91,9,18,3,Everthing and More Store,Chennai,148.0,1893.1224000000002,708.5007999999999,4.0,0.4054794520547945,19.42506971244462,1575.02,1.2131147540983607,300.8783783783784,56.0,58.0,64.0,283.5036,Overstock,0.0
8,2,2,168,2023-03-09,13,Smartphone,Electronics,6.22,17,16,8,Ultimate Retail Hub,Pune,100.0,646.106232,260.46623200000005,4.0,0.273972602739726,8.286535263104035,1044.96,0.5952380952380952,613.2,39.0,42.0,126.0,188.0928,Overstock,0.0
9,73,3,13,2023-03-13,45,Smart Home Device,Electronics,27.88,16,14,10,One-Stop Shop,Bengaluru,110.0,3289.3604640000003,1387.9444640000002,4.0,0.3013698630136986,19.570385790780925,362.44,8.461538461538462,43.13636363636364,103.0,107.0,-94.0,65.2392,Restock risk,100.0
10,100,2,173,2023-06-23,43,Power Bank,Electronics,69.98,14,7,6,Ultimate Retail Hub,Pune,41.0,3191.675832000001,1412.7842320000009,1.0,0.11232876712328767,0.0,12106.54,0.2369942196531792,1540.1219512195123,0.0,1.0,172.0,2179.1772,Overstock,0.0
11,59,2,112,2023-07-23,27,Toy Robot,Toys,64.95,7,20,5,Ultimate Retail Hub,Pune,13.0,881.3715,357.8745,2.0,0.03561643835616438,4.949747468305833,7274.400000000001,0.11607142857142856,3144.6153846153848,19.0,20.0,92.0,1309.392,Overstock,0.0
12,37,3,109,2023-08-17,38,Router,Electronics,97.11,11,19,4,One-Stop Shop,Bengaluru,204.0,19895.11992,7612.647120000002,7.0,0.5589041095890411,11.126972805283735,10584.99,1.8715596330275228,195.02450980392155,37.0,40.0,69.0,1905.2982,Overstock,0.0
