sale_id,product_id,date,quantity_sold,store_id,source_sales_amount,product_name,category,price_per_unit,supplier_id,reorder_point,lead_time,store_name,location,supplier_name,lead_time_supplier,net_unit_price,revenue,estimated_unit_cost,gross_profit,gross_margin_pct,sale_month,quarter
1020,1,2023-12-30,48,1,291.1,T-shirt,Clothing,72.91,7,9,4,All-In-One Mart ,Delhi-NCR,Hari,3,72.443376,3477.282048,45.2042,1307.4804480000003,0.3760064412238326,2023-12,4
1823,1,2023-11-08,31,1,451.22,T-shirt,Clothing,72.91,7,9,4,All-In-One Mart ,Delhi-NCR,Hari,3,75.59308800000001,2343.385728,45.2042,942.0555280000001,0.4020061728395062,2023-11,4
905,1,2023-09-29,48,1,278.85,T-shirt,Clothing,72.91,7,9,4,All-In-One Mart ,Delhi-NCR,Hari,3,69.9936,3359.6928,45.2042,1189.8912,0.3541666666666667,2023-09,3
1936,1,2023-03-15,29,1,413.17,T-shirt,Clothing,72.91,7,9,4,All-In-One Mart ,Delhi-NCR,Hari,3,78.0137,2262.3973,45.2042,951.4755,0.4205607476635514,2023-03,1
42,1,2023-02-06,46,1,118.33,T-shirt,Clothing,72.91,7,9,4,All-In-One Mart ,Delhi-NCR,Hari,3,72.91,3353.8599999999997,45.2042,1274.4667999999997,0.37999999999999995,2023-02,1
1988,1,2023-02-03,32,1,477.06,T-shirt,Clothing,72.91,7,9,4,All-In-One Mart ,Delhi-NCR,Hari,3,78.7428,2519.7696,45.2042,1073.2352,0.42592592592592593,2023-02,1
198,2,2023-10-10,27,1,116.23,Smartphone,Electronics,6.22,17,16,8,All-In-One Mart ,Delhi-NCR,Ashok,8,6.919128000000001,186.81645600000002,3.8564,82.69365600000002,0.44264653002517085,2023-10,4
1963,2,2023-06-22,13,1,114.18,Smartphone,Electronics,6.22,17,16,8,All-In-One Mart ,Delhi-NCR,Ashok,8,6.22,80.86,3.8564,30.726800000000004,0.38000000000000006,2023-06,2
1707,3,2023-12-23,13,1,108.57,Action Figure,Toys,92.94,13,16,7,All-In-One Mart ,Delhi-NCR,Raju,7,99.371448,1291.828824,57.6228,542.7324239999999,0.42012719790497566,2023-12,4
1582,3,2023-10-03,21,1,233.15,Action Figure,Toys,92.94,13,16,7,All-In-One Mart ,Delhi-NCR,Raju,7,93.34893600000001,1960.3276560000002,57.6228,750.2488560000002,0.3827160493827161,2023-10,4
745,3,2023-09-27,31,1,169.21,Action Figure,Toys,92.94,13,16,7,All-In-One Mart ,Delhi-NCR,Raju,7,98.5164,3054.0084,57.6228,1267.7016000000003,0.4150943396226416,2023-09,3
1386,3,2023-09-12,10,1,466.78,Action Figure,Toys,92.94,13,16,7,All-In-One Mart ,Delhi-NCR,Raju,7,93.8694,938.694,57.6228,362.466,0.38613861386138615,2023-09,3
953,3,2023-07-19,44,1,269.74,Action Figure,Toys,92.94,13,16,7,All-In-One Mart ,Delhi-NCR,Raju,7,86.4342,3803.1048,57.6228,1267.7016000000003,0.3333333333333334,2023-07,3
438,3,2023-07-08,22,1,490.05,Action Figure,Toys,92.94,13,16,7,All-In-One Mart ,Delhi-NCR,Raju,7,97.587,2146.914,57.6228,879.2124000000003,0.4095238095238096,2023-07,3
1808,3,2023-05-18,36,1,126.93,Action Figure,Toys,92.94,13,16,7,All-In-One Mart ,Delhi-NCR,Raju,7,91.0812,3278.9231999999997,57.6228,1204.5023999999999,0.36734693877551017,2023-05,2
503,3,2023-05-04,14,1,54.94,Action Figure,Toys,92.94,13,16,7,All-In-One Mart ,Delhi-NCR,Raju,7,94.7988,1327.1832,57.6228,520.4639999999999,0.39215686274509803,2023-05,2
1883,3,2023-04-01,17,1,15.39,Action Figure,Toys,92.94,13,16,7,All-In-One Mart ,Delhi-NCR,Raju,7,97.587,1658.979,57.6228,679.3914000000001,0.40952380952380957,2023-04,2
1702,3,2023-01-03,26,1,11.59,Action Figure,Toys,92.94,13,16,7,All-In-One Mart ,Delhi-NCR,Raju,7,87.3636,2271.4536000000003,57.6228,773.2608000000002,0.34042553191489366,2023-01,1
1301,4,2023-08-30,44,1,57.43,Toy Car,Toys,34.24,19,7,7,All-In-One Mart ,Delhi-NCR,Rahul,4,34.5824,1521.6256,21.2288,587.5584000000001,0.3861386138613862,2023-08,3
918,4,2023-07-15,10,1,336.78,Toy Car,Toys,34.24,19,7,7,All-In-One Mart ,Delhi-NCR,Rahul,4,31.5008,315.00800000000004,21.2288,102.72000000000003,0.3260869565217392,2023-07,3
185,4,2023-02-16,15,1,499.79,Toy Car,Toys,34.24,19,7,7,All-In-One Mart ,Delhi-NCR,Rahul,4,36.6368,549.552,21.2288,231.12,0.4205607476635514,2023-02,1
219,4,2023-01-24,21,1,150.22,Toy Car,Toys,34.24,19,7,7,All-In-One Mart ,Delhi-NCR,Rahul,4,36.6368,769.3728,21.2288,323.568,0.4205607476635514,2023-01,1
1291,5,2023-08-24,25,1,7.03,Laptop,Electronics,99.28,4,17,10,All-In-One Mart ,Delhi-NCR,Girish,2,107.22240000000001,2680.5600000000004,61.5536,1141.7200000000003,0.42592592592592593,2023-08,3
504,5,2023-08-17,39,1,126.14,Laptop,Electronics,99.28,4,17,10,All-In-One Mart ,Delhi-NCR,Girish,2,102.25840000000001,3988.0776000000005,61.5536,1587.4872000000005,0.3980582524271845,2023-08,3
1122,5,2023-04-12,30,1,262.96,Laptop,Electronics,99.28,4,17,10,All-In-One Mart ,Delhi-NCR,Girish,2,91.33760000000001,2740.128,61.5536,893.52,0.3260869565217391,2023-04,2
1403,5,2023-03-14,32,1,238.25,Laptop,Electronics,99.28,4,17,10,All-In-One Mart ,Delhi-NCR,Girish,2,100.2728,3208.7296,61.5536,1239.0144,0.38613861386138615,2023-03,1
1292,6,2023-12-18,39,1,169.98,Jeans,Clothing,23.45,14,13,6,All-In-One Mart ,Delhi-NCR,Pramod,3,23.29992,908.69688,14.539,341.67588,0.37600644122383253,2023-12,4
1875,6,2023-09-11,15,1,321.19,Jeans,Clothing,23.45,14,13,6,All-In-One Mart ,Delhi-NCR,Pramod,3,22.7465,341.1975,14.539,123.11249999999998,0.3608247422680412,2023-09,3
1608,6,2023-09-06,2,1,430.49,Jeans,Clothing,23.45,14,13,6,All-In-One Mart ,Delhi-NCR,Pramod,3,23.919,47.838,14.539,18.76,0.3921568627450981,2023-09,3
493,6,2023-08-05,23,1,272.88,Jeans,Clothing,23.45,14,13,6,All-In-One Mart ,Delhi-NCR,Pramod,3,21.574,496.20200000000006,14.539,161.80500000000006,0.32608695652173925,2023-08,3
1533,6,2023-04-11,7,1,397.56,Jeans,Clothing,23.45,14,13,6,All-In-One Mart ,Delhi-NCR,Pramod,3,22.2775,155.9425,14.539,54.1695,0.3473684210526316,2023-04,2
1490,6,2023-03-13,44,1,157.5,Jeans,Clothing,23.45,14,13,6,All-In-One Mart ,Delhi-NCR,Pramod,3,24.1535,1062.7540000000001,14.539,423.0380000000001,0.3980582524271845,2023-03,1
1446,6,2023-01-21,31,1,215.72,Jeans,Clothing,23.45,14,13,6,All-In-One Mart ,Delhi-NCR,Pramod,3,21.808500000000002,676.0635000000001,14.539,225.3545000000001,0.3333333333333334,2023-01,1
48,7,2023-12-11,42,1,35.0,Milk,Groceries,72.37,12,6,7,All-In-One Mart ,Delhi-NCR,Shubham,10,82.84917600000001,3479.665392000001,44.869400000000006,1595.1505920000006,0.45842068483577925,2023-12,4
855,7,2023-12-05,7,1,28.88,Milk,Groceries,72.37,12,6,7,All-In-One Mart ,Delhi-NCR,Shubham,10,75.81481200000002,530.7036840000001,44.869400000000006,216.617884,0.4081710576555937,2023-12,4
