purchase_order_id,product_id,store_id,supplier_id,order_date,promised_date,actual_delivery_date,quantity_ordered,quantity_received,delivery_delay_days,fill_rate,on_time_flag
PO-0001-1,47,3,20,2023-04-28,2023-04-30,2023-04-29,28,26,-1,0.9285714285714286,True
PO-0001-2,47,3,20,2023-09-04,2023-09-06,2023-09-04,23,22,-2,0.9565217391304348,True
PO-0002-1,29,3,9,2022-11-18,2022-11-25,2022-11-24,18,17,-1,0.9444444444444444,True
PO-0002-2,29,3,9,2023-02-13,2023-02-20,2023-02-20,20,18,0,0.9,True
PO-0003-1,49,1,10,2023-05-03,2023-05-05,2023-05-06,5,4,1,0.8,False
PO-0003-2,49,1,10,2023-04-22,2023-04-24,2023-04-24,6,5,0,0.8333333333333334,True
PO-0003-3,49,1,10,2023-02-01,2023-02-03,2023-02-03,8,7,0,0.875,True
PO-0004-1,94,3,13,2022-11-17,2022-11-24,2022-11-25,39,37,1,0.9487179487179487,False
PO-0004-2,94,3,13,2022-08-07,2022-08-14,2022-08-14,31,28,0,0.9032258064516129,True
PO-0004-3,94,3,13,2022-09-16,2022-09-23,2022-09-25,45,39,2,0.8666666666666667,False
PO-0005-1,45,3,16,2022-10-18,2022-10-27,2022-10-26,27,24,-1,0.8888888888888888,True
PO-0005-2,45,3,16,2022-12-28,2023-01-06,2023-01-05,26,25,-1,0.9615384615384616,True
PO-0005-3,45,3,16,2022-07-30,2022-08-08,2022-08-09,22,19,1,0.8636363636363636,False
PO-0005-4,45,3,16,2022-12-11,2022-12-20,2022-12-21,27,22,1,0.8148148148148148,False
PO-0006-1,7,2,12,2023-03-24,2023-04-03,2023-04-05,17,16,2,0.9411764705882353,False
PO-0006-2,7,2,12,2023-03-26,2023-04-05,2023-04-05,23,20,0,0.8695652173913043,True
PO-0006-3,7,2,12,2023-07-26,2023-08-05,2023-08-04,36,33,-1,0.9166666666666666,True
PO-0006-4,7,2,12,2023-08-25,2023-09-04,2023-09-04,30,27,0,0.9,True
PO-0007-1,95,4,9,2022-10-23,2022-10-30,2022-11-01,39,35,2,0.8974358974358975,False
PO-0007-2,95,4,9,2022-07-19,2022-07-26,2022-07-26,31,27,0,0.8709677419354839,True
PO-0008-1,2,2,17,2022-08-22,2022-08-30,2022-08-31,14,13,1,0.9285714285714286,False
PO-0008-2,2,2,17,2023-02-09,2023-02-17,2023-02-17,14,13,0,0.9285714285714286,True
PO-0009-1,73,3,16,2022-11-27,2022-12-06,2022-12-07,39,33,1,0.8461538461538461,False
